Description,Winning Probability,Reasoning,Relevant Laws
I was arrested for driving on the shoulder of a highway.,Defendant Win: 90%,Do not use the shoulder of the road as a lane.,Section 37 - Unauthorized use of the special lane is prohibited.
My car was hit while driving slowly in the right lane of the freeway.,Defendant Win: 85%,The right lane must be used for faster vehicles.,Section 34 - Do not drive slowly in the rush lane.
I was arrested for driving without compulsory insurance.,Defendant Win: 95%,There must be a Motor Vehicle Act.,Motor Vehicle Accident Victims Protection Act 1992 - Compulsory insurance is required.
My car was hit while running a red light by a car that broke through the traffic light.,Plaintiff Win: 90%,Breaking through illegal red lights,Section 22 - Do not run a red light.
I was arrested for driving without a seatbelt.,Defendant Win: 90%,Must wear a belt while driving.,Section 123 - Drivers and passengers must wear seat belts.
My car was hit by a car while making a U-turn in the allowed spot.,Plaintiff Win: 80%,Cars that make legal U-turns have the right to go first.,Section 71 - Give way when making a U-turn
I was arrested by the police for tampering with a loud exhaust pipe.,Defendant Win: 85%,Do not modify the exhaust pipe beyond the deadline.,Section 6 - Illegal modification of the vehicle is prohibited.
My car was hit while parked in a no-stop area at night.,Defendant Win: 80%,Parking the wrong car at risk of accident,Section 57 - Do not park in a prohibited place.
I was arrested by the police for driving without a turn signal.,Defendant Win: 85%,Turn signals must be used before changing direction.,Section 36 - The lights must be turned on before changing lanes.
I was reversing my car into a sack and was hit by another car from behind.,Plaintiff Win: 85%,Cars that are reversing are responsible for making sure that no cars are passing.,Section 46 - Must give way when reversing
My car was hit while driving on a shared road with no stop sign.,Plaintiff Win: 60%,There are no stop signs on the joint road. Caution must be taken.,Section 72 - The use of shared paths requires caution.
I drove out of the parking lot on the side of the road and was hit by an oncoming car.,Defendant Win: 75%,Cars leaving the parking lot must give way first.,Section 37 - Vehicles leaving the parking lot must give way first.
My car was hit by a swerving bus while in a normal lane.,Plaintiff Win: 90%,"The bus suddenly changed lanes, causing an accident.",Section 41 - Do not change lanes without looking at traffic conditions.
The motorcycle rushed out of the alley and hit my car that was running normally.,Plaintiff Win: 80%,A motorcycle leaving the alley without looking at the road is considered reckless.,Section 71 - Vehicles leaving the alley must give way first.
"I was driving home at night and a car with its high beams on all the time made it impossible for me to see the road, so I crashed into the rear of the car in front of me.",Plaintiff Win: 70%,Drivers who turn on their high beams unnecessarily affect the visibility of other drivers.,Section 11 - The use of headlights must not interfere with others.
"I parked on the side of the road to answer the phone, but a motorcycle crashed into the rear.",Defendant Win: 60%,Stopping on public roads must be done in a safe place and not obstructing traffic.,Section 57 - Stopping must not obstruct traffic.
My car was hit by a taxi while changing lanes without turning on the lights.,Defendant Win: 80%,Changing lanes without a traffic light is reckless driving.,Section 36 - The signal must be given when changing lanes.
"I was driving straight and suddenly a bicycle crossed the road in front of me, causing me to crash into him.",Plaintiff Win: 85%,Bicycles must follow the same traffic rules as any other vehicle.,Section 75 - All road users must comply with traffic rules.
I drove into a roundabout and was hit by a car that came in later.,Plaintiff Win: 90%,Vehicles in the roundabout have the right of way first. Cars that come in later must give way.,Section 76 - Give way to vehicles in roundabouts.
"I was driving straight, but a truck suddenly changed lanes without turning on its turn signals, causing me to crash into the truck.",Plaintiff Win: 75%,Trucks must give a light signal when changing lanes.,Section 36 - The signal must be given when changing lanes.
"I was about to park in the parking lot, but a motorcycle drove in, causing me to crash.",Plaintiff Win: 65%,The motorcycle must not drive in an unsafe area.,Section 43 - No reckless driving.
My car was parked on the side of the road but was hit by a taxi from behind.,Plaintiff Win: 85%,Taxi drivers should be careful of parked vehicles.,Section 40 - Distancing must be observed.
"I was making a U-turn at the allowed U-turn point, but a motorcycle driving in the park lane collided.",Plaintiff Win: 80%,Driving a motorcycle in the park lane is an offense.,Section 21 - Do not drive against the road.
"I was driving into the alley, but a car left the alley without stopping, causing a collision.",Plaintiff Win: 70%,Cars leaving the alley must give way first.,Section 71 - Vehicles exiting the alley must give way first.
"I was driving in my own lane as usual, but a truck overtook me in my lane and swerved.",Plaintiff Win: 85%,Changing lanes without looking at other cars is considered reckless.,Section 36 - The signal must be given when changing lanes.
I was called by the police to park for no reason and fined without a fine.,Plaintiff Win: 90%,The police must issue the order correctly.,Section 140 - The issuance of an order must be in accordance with the law.
"I was driving through a pedestrian crossing and someone suddenly crossed the road in front of me, so I couldn't brake in time.",Defendant Win: 70%,Drivers must give way to people crossing the crosswalk.,Section 22 - Pedestrian crossings must be stopped.
I was exiting the alley and there was a car parked in the way of the exit. This caused him to reverse and collide with the car behind.,Plaintiff Win: 60%,Parking must not obstruct traffic.,Section 57 - No obstructive parking
"I was driving according to the law, but there was a bus that suddenly stopped to pick up passengers. Hit me in the back",Defendant Win: 75%,Vehicles driving behind must keep their distance.,Section 40 - Distancing must be observed.
"I was driving in the right lane, but a motorcycle drove on the footpath and crashed into me.",Plaintiff Win: 80%,Do not ride a motorcycle on footpaths.,Section 43 - No reckless driving.
I was hit by a motorcycle while parked at a red light.,Plaintiff Win: 85%,Motorcycles must be driven with caution.,Section 43 - No reckless driving.
"I was driving at the speed limit, but a sedan overtook me on the left and smashed into me.",Plaintiff Win: 80%,Do not overtake left unnecessarily.,"Section 44 - Do not overtake on the left, except in certain cases."
"I was about to turn right and give a traffic light, but a motorcycle overtook me on the right and hit me.",Plaintiff Win: 85%,The motorcycle must comply with the overtaking rules.,Section 45 - Do not overtake the right in certain cases.
"I parked on the side of the road and opened the door without looking, causing a motorcycle to crash into my car door.",Defendant Win: 70%,Opening the car door must be seen to be safe first.,Section 59 - Do not open the door without looking.
"I drove to an intersection with no traffic lights, and a car pulled in without stopping. This caused a collision.",Plaintiff Win: 80%,The way must be given according to the priority of separation.,Section 24 - Giving way at intersections
"I parked my car to help a car that broke down, but was fined by the police for parking in a prohibited place.",Plaintiff Win: 75%,Emergency assistance is an exception.,Section 64 - Exceptions to parking
"I was breathed by the police and charged with drunk driving, even though I had not consumed alcohol.",Plaintiff Win: 90%,There must be clear proof of alcohol testing.,Section 43 - No drunk driving
"I was driving normally, but there was a car that drove backwards and hit the front.",Plaintiff Win: 95%,Driving backwards is a serious offense.,Section 21 - Do not drive in reverse.
I was parking in a shopping mall but a car drove at high speed and crashed into my car.,Plaintiff Win: 80%,The speed in the parking lot must be reduced.,Section 37 - Driving must be careful.
"I was arrested by the police for speeding, but I have evidence that I did not exceed the legal limit.",Plaintiff Win: 85%,There must be clear evidence of speed detection.,Section 25 - Speed Limit
"I parked on the side of the road and turned on the emergency lights, but a trailer hit the rear.",Plaintiff Win: 90%,Trailers must maintain distance.,Section 40 - Distancing must be observed.
"I drove along a road with construction, but there were no warning signs, causing me to collide with an object on the road.",Plaintiff Win: 75%,Relevant agencies must put up warning signs.,Section 75 - Warning signals must be given.
"I was about to turn right at the intersection, but a bus ran through the red light and hit me.",Plaintiff Win: 95%,Breaking a red light is a serious offense.,Section 22 - Do not break through red lights.
"I was driving on the normal road, but a child ran out of the road. It made me unable to brake in time.",Defendant Win: 60%,Drivers must be careful in public places.,Section 43 - Driving with caution
"I was driving along the road, but the motorcycle ran in the garden lane and hit the front.",Plaintiff Win: 95%,Driving in reverse is a serious offense.,Section 21 - Do not drive in reverse.
I was honking my horn from behind while slowing down to get people to cross the crosswalk.,Plaintiff Win: 70%,People must be stopped from crossing the crosswalk.,Section 22 - Pedestrian crossings must be stopped.
"I parked my car on the side of the road, but was caught by a pickup truck that opened the door carelessly, causing an accident.",Plaintiff Win: 80%,Opening the door must not cause a hazard.,Section 59 - Do not open the door without looking.
"I was reversing my car from the parking lot, but a sedan drove by at high speed and hit me behind.",Plaintiff Win: 75%,Vehicles moving fast in the parking lot must be careful.,Section 37 - Drive with caution
"I was about to change lanes and turn on my turn signals, but a motorcycle overtook me and hit me on the side of the car.",Plaintiff Win: 80%,Motorcycles must not overtake in dangerous spots.,Section 45 - Do not overtake the right in certain cases.
"I was driving according to the law, but a motorcycle suddenly drove through a red light and cut off my face.",Plaintiff Win: 85%,Motorcycles must comply with traffic laws as well as cars.,Section 22 - Do not break through red lights.
I was charged with speeding even though I was driving at the speed limit.,Plaintiff Win: 90%,Valid proof is required to issue the order.,Section 25 - Speed Limit
"I was driving on a slippery road after the rain, and the truck suddenly changed lanes. It made me unable to brake in time.",Plaintiff Win: 80%,Trucks require special care.,Section 40 - Distancing must be observed.
I accidentally parked my car in a prohibited place and got my wheels locked without warning.,Plaintiff Win: 60%,There must be a warning sign and inform the driver before locking the wheels.,Section 57 - Parking
"I drove through an intersection with no traffic lights, and another car broke through and hit the side.",Plaintiff Win: 75%,The way must be given according to the priority of separation.,Section 24 - Giving way at intersections
"I was changing lanes properly, but a taxi was coming at high speed and hit the rear.",Plaintiff Win: 85%,A car that drives too fast is dangerous to others.,Section 25 - Speed Limit
"I was backing into the parking envelope, but a bicycle came from behind and crashed into my car.",Plaintiff Win: 70%,Bicycles must be used with caution when near cars.,Section 75 - Road users must obey traffic rules.
"I was called by the police to investigate, even though I did not break any laws.",Plaintiff Win: 80%,The call for inspection must be justified.,Section 140 - The issuance of an order must be in accordance with the law.
I was driving on a road under construction without a warning sign. This caused the car wheels to fall into holes and be damaged.,Plaintiff Win: 85%,The person in charge of the construction work must put up a warning sign.,Section 75 - Warning signals must be given.
"I parked my car to help a car that broke down in the middle of the road, but the police fined me for parking in a prohibited place.",Plaintiff Win: 75%,Emergency assistance is an exception.,Section 64 - Exceptions to parking
"I was driving along the expressway, but there was a car in front of me driving slower than scheduled in the right lane. This caused a collision.",Defendant Win: 70%,The right lane must be used for overtaking or driving at a reasonable speed.,Section 26 - Use of Lane
"I parked my car in the parking lot, but when I came back, I found that there were crash marks and no one was responsible.",Plaintiff Win: 60%,The person who crashed must notify the owner of the vehicle.,Section 78 - Notification must be made when an accident occurs.
"I was driving normally, but a bus changed lanes without giving a signal, causing me to brake suddenly and get hit by the rear.",Plaintiff Win: 85%,Buses must signal before changing lanes.,Section 36 - The signal must be given when changing lanes.
"I was turning left, but a motorcycle overtook me on the left and crashed into my car.",Plaintiff Win: 80%,Do not overtake on the left in case of unsafety.,"Section 44 - Do not overtake on the left, except in certain cases."
"I drove through a construction zone, but there was no lighting. This makes it invisible and collides with obstacles.",Plaintiff Win: 85%,The person in charge of the construction work must provide lighting.,Section 75 - Warning signals must be given.
"I was driving on a slippery road after rain, but a truck suddenly changed lanes. It spoils my main point.",Plaintiff Win: 75%,Trucks require special care.,Section 40 - Distancing must be observed.
"I was about to leave the alley, but a bicycle suddenly crossed in front of me. This caused a collision.",Plaintiff Win: 70%,Bicycles must follow the same traffic rules as any other vehicle.,Section 75 - Road users must obey traffic rules.
"I parked the car to let the schoolchildren cross the road, but a sedan overtook and hit the schoolchildren.",Plaintiff Win: 95%,"Cars must stop for people to cross the road, especially in front of schools.",Section 22 - Pedestrian crossings must be stopped.
"I was charged with speeding, but the speed camera was working incorrectly.",Plaintiff Win: 90%,Issuing an order must have valid evidence.,Section 25 - Speed Limit
"I drove into the corner as usual, but a motorcycle overtook me in the corner and smashed into my car.",Plaintiff Win: 80%,Overtaking in curves is dangerous.,Section 45 - Do not overtake the right in certain cases.
"I drove straight ahead, but a bus stopped dropping off passengers and left without giving a signal, causing me to hit the rear.",Plaintiff Win: 85%,Buses must give a signal before exiting the stop.,Section 36 - The signal must be given when changing lanes.
"I was driving in the right lane according to the law, but a trailer overtook me on the left and pushed me to the side of the road.",Plaintiff Win: 90%,The trailer must not overtake carelessly.,"Section 44 - Do not overtake on the left, except in certain cases."
"I was driving according to the law, but there were three motorcycles stacked and driving back and forth. Causing an accident.",Plaintiff Win: 85%,Triple stacking is an illegal act.,Section 43 - No reckless driving.
"I parked my car in the alley of my house, but a delivery truck reversed and hit my car without looking at the way.",Plaintiff Win: 80%,Cars that are reversing must be safe.,Section 59 - Reversing the vehicle
"I drove at the speed limit, but a sedan drove behind and honked its horn, which frightened me and lost control.",Plaintiff Win: 75%,Driving a tailgate is dangerous to others.,Section 40 - Distancing must be observed.
"I was making a U-turn at the allowed U-turn, but a motorcycle driving in the park lane collided.",Plaintiff Win: 85%,Driving in a park lane is an offense.,Section 21 - Do not drive against the road.
"I drove into an intersection with no traffic lights, and another car rushed in at high speed. Causing an accident.",Plaintiff Win: 80%,The way must be given according to the priority of separation.,Section 24 - Giving way at intersections
"I parked on the side of the road, but there were other cars parked on top of each other, making it impossible for me to get out of the parking space.",Plaintiff Win: 70%,Parking on top of the car obstructs traffic.,Section 57 - Parking
I was called by the police to stop and ask to search the car without a search warrant or a valid reason.,Plaintiff Win: 90%,The search must have a legal reason.,Section 140 - Law enforcement
"My car was hit while parked in a designated parking lot, and no one was inside the vehicle.",Plaintiff Win: 75%,Drivers must exercise caution when parking.,Section 57 - No parking in prohibited areas.
I was driving in heavy fog and had an accident colliding with another car.,Defendant Win: 80%,Drivers must drive carefully in poor weather conditions.,Section 11 - Headlights must be used when visibility is poor.
My car was hit while parked in a properly designated parking space.,Plaintiff Win: 85%,Vehicles parked in designated areas have a duty of care.,Section 57 - Must park in designated areas.
I drove through a construction zone and had an accident.,Plaintiff Win: 70%,The entity responsible for the construction must post warning signs.,Section 75 - Warning signals must be given during construction.
My car was hit while changing lanes without signaling.,Defendant Win: 90%,Changing lanes without signaling is considered reckless driving.,Section 36 - Turn signals must be used when changing lanes.
I was not paying attention and collided with a parked car.,Defendant Win: 75%,Drivers must be cautious when driving near parked vehicles.,Section 40 - Safe distancing must be maintained when passing parked vehicles.
My car collided with a vehicle that was driving in the wrong direction on a one-way street.,Plaintiff Win: 80%,Vehicles driving against traffic must be held accountable for accidents.,Section 21 - Do not drive in the wrong direction.
I was hit while crossing the street during a green light.,Plaintiff Win: 90%,Vehicles must stop for pedestrians crossing the street during a green light.,Section 22 - Vehicles must yield to pedestrians at crosswalks.
I was involved in an accident because another driver did not stop at a stop sign.,Plaintiff Win: 85%,Drivers must stop at stop signs before proceeding,Section 22 - Obey traffic signs.
I was hit by a car while riding my bicycle on the road.,Plaintiff Win: 75%,Cyclists have the right to share the road and must follow traffic rules.,Section 80 - Bicycles must comply with traffic rules.
My car was rear-ended while I was stopped at a traffic light.,Plaintiff Win: 90%,The driver behind is typically at fault for not maintaining a safe distance.,Section 40 - Safe distancing must be observed.
I was hit by a truck while walking in a pedestrian zone.,Plaintiff Win: 85%,Vehicles must not enter pedestrian-only areas.,Section 21 - Vehicles must yield to pedestrians in designated zones.
I was struck by a motorcycle while crossing the street at a crosswalk.,Plaintiff Win: 80%,Motorcycles must yield to pedestrians at crosswalks.,Section 22 - Vehicles must stop for pedestrians at crosswalks.
I was involved in an accident while changing lanes without proper signaling.,Defendant Win: 75%,Failing to signal when changing lanes is reckless behavior.,Section 36 - Turn signals must be used before changing lanes.
My vehicle was struck while parked legally on the street.,Plaintiff Win: 70%,Drivers must be cautious and responsible when driving near parked vehicles.,Section 57 - No illegal parking.
I collided with a vehicle that failed to yield at a roundabout.,Plaintiff Win: 85%,Vehicles entering a roundabout must yield to those already inside.,Section 72 - Yield to vehicles in the roundabout.
I was hit while making a right turn at an intersection without traffic lights.,Plaintiff Win: 75%,Drivers must yield to oncoming traffic when turning.,Section 71 - Yield to vehicles going straight.
I was involved in an accident while driving under the influence of alcohol.,Defendant Win: 95%,Driving under the influence is a serious offense and the driver is at fault.,Section 43(2) - Do not drive while intoxicated.
I was stopped by police for driving without a helmet on my motorcycle.,Defendant Win: 90%,Riders must wear helmets for safety.,Section 143 - Helmet use is mandatory for motorcyclists.
My vehicle was struck while I was parked on the roadside without hazard lights.,Defendant Win: 70%,Vehicles parked on the roadside must use hazard lights to warn others.,Section 61 - Hazard lights must be used when parked in dangerous areas.
I got into an accident because another driver was speeding in a residential area.,Plaintiff Win: 80%,Speeding in residential areas poses a danger to pedestrians and other drivers.,Section 25 - Speed limits must be observed.
I was involved in an accident while driving a company vehicle without proper insurance.,Defendant Win: 95%,Driving without valid insurance is a serious violation.,Motor Vehicle Accident Victims Protection Act 1992 - Mandatory insurance is required.
I was hit by a bus while crossing the street during a green light.,Plaintiff Win: 85%,Buses must yield to pedestrians during green lights.,Section 22 - Vehicles must yield to pedestrians.
I was hit by a car while walking on a sidewalk.,Plaintiff Win: 90%,Cars must not encroach upon pedestrian sidewalks.,Section 108 - Pedestrians must use sidewalks.
My vehicle was struck while I was parked in a designated handicapped parking space.,Plaintiff Win: 80%,Handicapped spaces are reserved and must be respected.,Section 57 - Special parking regulations.
I was struck by a car while I was riding my scooter in the bicycle lane.,Plaintiff Win: 75%,Vehicles must respect designated lanes for bicycles and scooters.,Section 80 - Compliance with traffic rules.
I was involved in an accident due to poor road conditions and lack of signage.,Plaintiff Win: 85%,Authorities must maintain roads and provide adequate warning signs.,Section 75 - Warning signals must be given.
My car was rear-ended while I was waiting for a pedestrian to cross.,Plaintiff Win: 80%,The driver behind has a duty to maintain a safe distance.,Section 40 - Safe distancing must be observed.
I was hit while crossing the street at a marked crosswalk.,Plaintiff Win: 85%,Vehicles must stop for pedestrians at marked crosswalks.,Section 22 - Yield to pedestrians.
I was hit by another driver while I was stopped for a school bus.,Plaintiff Win: 90%,Drivers must stop for school buses with flashing lights.,Section 22 - Stopping for school buses is mandatory.
I was hit while merging onto the highway without signaling.,Defendant Win: 75%,Merging without signaling is considered reckless.,Section 36 - Use of turn signals is required.
I collided with a driver who was making an illegal U-turn.,Plaintiff Win: 80%,Illegal U-turns are a violation of traffic laws.,Section 71 - U-turns must be made at designated points.
My parked car was hit by a delivery truck while it was backing up.,Plaintiff Win: 85%,Drivers must check their surroundings while reversing.,Section 34 - Give way before reversing.
I was involved in an accident because another driver was using their phone.,Plaintiff Win: 90%,Distracted driving is a serious offense.,Section 43(9) - Prohibition of using mobile phones while driving.
I was hit while cycling on the road during the night without lights.,Defendant Win: 80%,Cyclists must use lights at night for visibility.,Section 80 - Bicycles must comply with traffic rules.
I was rear-ended by a driver who was speeding in a residential area.,Plaintiff Win: 85%,Speeding in residential areas poses a risk to pedestrians.,Section 25 - Speed limits must be observed.
My car was hit while I was making a left turn at an intersection.,Defendant Win: 75%,Vehicles making left turns must yield to oncoming traffic.,Section 71 - Yield when turning left.
I was struck by a vehicle while walking my dog on a leash.,Plaintiff Win: 80%,Drivers must be cautious of pedestrians with pets.,Section 43 - Driving with caution.
I collided with a car that ran a red light.,Plaintiff Win: 90%,Running a red light is a serious offense.,Section 22 - Obey traffic signals.
My vehicle was struck while I was waiting at a drive-thru.,Plaintiff Win: 70%,Drivers must be cautious when approaching stopped vehicles.,Section 40 - Maintain safe distances.
I was involved in an accident due to a lack of street lighting.,Plaintiff Win: 75%,Authorities must ensure proper street lighting for safety.,Section 75 - Adequate lighting must be provided.
I was hit while crossing the road at a pedestrian overpass.,Plaintiff Win: 85%,Vehicles must yield to pedestrians using overpasses.,Section 21 - Yield to pedestrians.
I was struck by a car while waiting to cross the street.,Plaintiff Win: 80%,Drivers must be cautious and yield to pedestrians.,Section 22 - Pedestrian safety must be prioritized.
I was involved in an accident because a driver was driving without lights at night.,Plaintiff Win: 85%,Driving without lights is a violation of traffic rules.,Section 11 - Use headlights in the dark.
I was hit by a vehicle while waiting at a bus stop.,Plaintiff Win: 75%,Drivers must be cautious near bus stops.,Section 22 - Yield to pedestrians at bus stops.
My motorcycle was struck by a car that failed to yield.,Plaintiff Win: 80%,Vehicles must yield to motorcycles in designated lanes.,Section 80 - Compliance with traffic rules.
I was hit while making a U-turn in a designated U-turn area.,Plaintiff Win: 70%,Vehicles making legal U-turns have the right of way.,Section 71 - U-turns must be made safely.
I was involved in an accident due to a driver not using their turn signals.,Plaintiff Win: 75%,Failure to signal poses a danger to other drivers.,Section 36 - Turn signals must be used.
I was hit while crossing the road during a heavy rainstorm.,Plaintiff Win: 80%,Drivers must exercise caution in adverse weather.,Section 43 - Drive with caution.
My car was struck while I was parked in a loading zone.,Defendant Win: 85%,Loading zones must be used appropriately.,Section 57 - No parking in loading zones without permission.
I was hit by a car that failed to stop at a traffic light.,Plaintiff Win: 90%,Ignoring traffic signals is a serious violation.,Section 22 - Obey traffic signals.
I was struck while crossing the road at night without reflective gear.,Defendant Win: 75%,Pedestrians should wear reflective clothing for visibility.,Section 43 - Pedestrians must be visible at night.
My vehicle was hit while parked in a public parking area.,Plaintiff Win: 70%,Drivers must exercise caution in parking lots.,Section 57 - Proper parking regulations must be followed.
I was involved in an accident due to another drivers aggressive behavior.,Plaintiff Win: 85%,Aggressive driving increases the risk of accidents.,Section 43 - Reckless driving is prohibited.
I was hit by a motorcycle while I was walking on the sidewalk.,Plaintiff Win: 90%,Motorcycles must not drive on sidewalks.,Section 43 - No driving on pedestrian pathways.
My car was struck while I was parked at a gas station.,Plaintiff Win: 75%,Drivers must be cautious around stationary vehicles at gas stations.,Section 40 - Maintain safe distances.
I was struck by a car that made a sudden lane change.,Plaintiff Win: 80%,Sudden lane changes without signaling endanger other drivers.,Section 36 - Use of turn signals is required.
I was hit while crossing the street and the vehicle was speeding.,Plaintiff Win: 90%,Speeding poses a serious risk to pedestrians.,Section 25 - Speed limits must be adhered to.
I was involved in an accident because another driver was driving under the influence.,Plaintiff Win: 95%,Driving under the influence is a serious violation.,Section 43(2) - Do not drive while intoxicated.
My vehicle was hit while I was parked in front of my house.,Plaintiff Win: 70%,Drivers should be cautious in residential areas.,Section 57 - Proper parking regulations must be followed.
I was struck by a car while jogging on the road.,Plaintiff Win: 75%,"Drivers must be cautious of pedestrians, especially joggers.",Section 43 - Drive with caution.
